"LBXF08.Code.or.Value","LBXF08.Value.Description","LBXF08.Count","LBXF08.Cumulative","LBXF08.Skip.to.Item"
"9.19 to 1423.5","Range of Values",1709,1709,NA
".","Missing",565,2274,NA
