"SXQ130.Code.or.Value","SXQ130.Value.Description","SXQ130.Count","SXQ130.Cumulative","SXQ130.Skip.to.Item"
"0 to 90","Range of Values",1464,1464,NA
"77777","Refused",4,1468,NA
"99999","Don't know",2,1470,NA
".","Missing",1815,3285,NA
