"LBCF01.Code.or.Value","LBCF01.Value.Description","LBCF01.Count","LBCF01.Cumulative","LBCF01.Skip.to.Item"
"0.67 to 9.13","Range of Values",246,246,NA
".","Missing",18,264,NA
