"DSDACTSS.Code.or.Value","DSDACTSS.Value.Description","DSDACTSS.Count","DSDACTSS.Cumulative","DSDACTSS.Skip.to.Item"
"0.01 to 30","Range of Values",8018,8018,NA
".","Missing",382,8400,NA
