"ENQ080.Code.or.Value","ENQ080.Value.Description","ENQ080.Count","ENQ080.Cumulative","ENQ080.Skip.to.Item"
"1","Yes",207,207,NA
"2","No",5232,5439,NA
"7","Refused",0,5439,NA
"9","Don't know",0,5439,NA
".","Missing",2304,7743,NA
