"DR1TKCAL.Code.or.Value","DR1TKCAL.Value.Description","DR1TKCAL.Count","DR1TKCAL.Cumulative","DR1TKCAL.Skip.to.Item"
"0 to 13509","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
