"URXUDMA.Code.or.Value","URXUDMA.Value.Description","URXUDMA.Count","URXUDMA.Cumulative","URXUDMA.Skip.to.Item"
"1.35 to 149.62","Range of Values",3094,3094,NA
".","Missing",185,3279,NA
