"DXDHELE.Code.or.Value","DXDHELE.Value.Description","DXDHELE.Count","DXDHELE.Cumulative","DXDHELE.Skip.to.Item"
"1705 to 5988.6","Range of Values",4725,4725,NA
".","Missing",967,5692,NA
