"BIXS378K.Code.or.Value","BIXS378K.Value.Description","BIXS378K.Count","BIXS378K.Cumulative","BIXS378K.Skip.to.Item"
"44.14 to 836.89","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
