"LBXV2A.Code.or.Value","LBXV2A.Value.Description","LBXV2A.Count","LBXV2A.Cumulative","LBXV2A.Skip.to.Item"
"0.007 to 0.109","Range of Values",2970,2970,NA
".","Missing",296,3266,NA
