"LBXSKSI.Code.or.Value","LBXSKSI.Value.Description","LBXSKSI.Count","LBXSKSI.Cumulative","LBXSKSI.Skip.to.Item"
"2.5 to 5.9","Range of Values",6491,6491,NA
".","Missing",499,6990,NA
