"DSQTCAFF.Code.or.Value","DSQTCAFF.Value.Description","DSQTCAFF.Count","DSQTCAFF.Cumulative","DSQTCAFF.Skip.to.Item"
"2 to 405","Range of Values",21,21,NA
".","Missing",10154,10175,NA
