"VIXKRD2.Code.or.Value","VIXKRD2.Value.Description","VIXKRD2.Count","VIXKRD2.Cumulative","VIXKRD2.Skip.to.Item"
"36.5 to 64","Range of Values",6969,6969,NA
"88","Could not obtain",42,7011,NA
".","Missing",434,7445,NA
