"WBXA009.Code.or.Value","WBXA009.Value.Description","WBXA009.Count","WBXA009.Cumulative","WBXA009.Skip.to.Item"
"-4.7971 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
