"AUDTYR10.Code.or.Value","AUDTYR10.Value.Description","AUDTYR10.Count","AUDTYR10.Cumulative","AUDTYR10.Skip.to.Item"
"0 to 1.69","Range of Values",1682,1682,NA
".","Missing",125,1807,NA
