"URXP17.Code.or.Value","URXP17.Value.Description","URXP17.Count","URXP17.Cumulative","URXP17.Skip.to.Item"
"9.2 to 23952.8","Range of Values",2504,2504,NA
".","Missing",193,2697,NA
