"DRD350B.Code.or.Value","DRD350B.Value.Description","DRD350B.Count","DRD350B.Cumulative","DRD350B.Skip.to.Item"
"1","Yes",888,888,""
"2","No",3321,4209,"DRD350C"
".","Missing",5741,9950,""
