"DXXSAY.Code.or.Value","DXXSAY.Value.Description","DXXSAY.Count","DXXSAY.Cumulative","DXXSAY.Skip.to.Item"
"102.2 to 291.8","Range of Values",2995,2995,NA
".","Missing",713,3708,NA
