"HOQ040.Code.or.Value","HOQ040.Value.Description","HOQ040.Count","HOQ040.Cumulative","HOQ040.Skip.to.Item"
"1","1990 to present",2309,2309,NA
"2","1978 to 1989",1435,3744,NA
"3","1960 to 1977",1639,5383,NA
"4","1950 to 1959",916,6299,NA
"5","1940 to 1949",436,6735,NA
"6","Before 1940",1220,7955,NA
"77","Refused",6,7961,NA
"99","Don't know",2094,10055,NA
".","Missing",94,10149,NA
