"LBXVBZN.Code.or.Value","LBXVBZN.Value.Description","LBXVBZN.Count","LBXVBZN.Cumulative","LBXVBZN.Skip.to.Item"
"0.106 to 1.92","Range of Values",2959,2959,NA
".","Missing",307,3266,NA
