"DUQ380A.Code.or.Value","DUQ380A.Value.Description","DUQ380A.Count","DUQ380A.Cumulative","DUQ380A.Skip.to.Item"
"1","Cocaine",52,52,NA
"7","Refused",0,52,NA
"9","Don't know",0,52,NA
".","Missing",4791,4843,NA
