"RFXT105.Code.or.Value","RFXT105.Value.Description","RFXT105.Count","RFXT105.Cumulative","RFXT105.Skip.to.Item"
"911 to 920","Range of Values",51061,51061,NA
".","Missing",15,51076,NA
