"AUDTYL01.Code.or.Value","AUDTYL01.Value.Description","AUDTYL01.Count","AUDTYL01.Cumulative","AUDTYL01.Skip.to.Item"
"0 to 2.25","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
