"LBXSNASI.Code.or.Value","LBXSNASI.Value.Description","LBXSNASI.Count","LBXSNASI.Cumulative","LBXSNASI.Skip.to.Item"
"119 to 154","Range of Values",6553,6553,NA
".","Missing",426,6979,NA
