"MCQ260CG.Code.or.Value","MCQ260CG.Value.Description","MCQ260CG.Count","MCQ260CG.Cumulative","MCQ260CG.Skip.to.Item"
"7","Brother",212,212,"MCQ250E"
".","Missing",9433,9645,""
