"VTQ230B.Code.or.Value","VTQ230B.Value.Description","VTQ230B.Count","VTQ230B.Cumulative","VTQ230B.Skip.to.Item"
"1","Yes",385,385,NA
"2","No",2814,3199,NA
"7","Refused",0,3199,NA
"9","Don't know",43,3242,NA
".","Missing",303,3545,NA
