"BPQ100D.Code.or.Value","BPQ100D.Value.Description","BPQ100D.Count","BPQ100D.Cumulative","BPQ100D.Skip.to.Item"
"1","Yes",1058,1058,NA
"2","No",291,1349,NA
"7","Refused",0,1349,NA
"9","Don't know",2,1351,NA
".","Missing",4824,6175,NA
