"SSTESTO.Code.or.Value","SSTESTO.Value.Description","SSTESTO.Count","SSTESTO.Cumulative","SSTESTO.Skip.to.Item"
"-0.02 to 14.14","Range of Values",523,523,NA
".","Missing",3,526,NA
