"ARQ021CC.Code.or.Value","ARQ021CC.Value.Description","ARQ021CC.Count","ARQ021CC.Cumulative","ARQ021CC.Skip.to.Item"
"3","stiffness?",126,126,NA
".","Missing",4980,5106,NA
