"URDUMOLC.Code.or.Value","URDUMOLC.Value.Description","URDUMOLC.Count","URDUMOLC.Cumulative","URDUMOLC.Skip.to.Item"
"0","At or above the detection limit",2272,2272,NA
"1","Below lower detection limit",0,2272,NA
".","Missing",77,2349,NA
