"SMQ690H.Code.or.Value","SMQ690H.Value.Description","SMQ690H.Count","SMQ690H.Cumulative","SMQ690H.Skip.to.Item"
"8","E-cigarettes",125,125,NA
".","Missing",6854,6979,NA
