"RFXT165.Code.or.Value","RFXT165.Value.Description","RFXT165.Count","RFXT165.Cumulative","RFXT165.Skip.to.Item"
"1441 to 1450","Range of Values",51050,51050,NA
".","Missing",26,51076,NA
