"RFXC142.Code.or.Value","RFXC142.Value.Description","RFXC142.Count","RFXC142.Cumulative","RFXC142.Skip.to.Item"
"-3.043 to 6.605","Range of Values",51053,51053,NA
".","Missing",23,51076,NA
