"DMDHREDU.Code.or.Value","DMDHREDU.Value.Description","DMDHREDU.Count","DMDHREDU.Cumulative","DMDHREDU.Skip.to.Item"
"1","Less Than 9th Grade",1468,1468,NA
"2","9-11th Grade (Includes 12th grade with no diploma)",2082,3550,NA
"3","High School Grad/GED or equivalent",2537,6087,NA
"4","Some College or AA degree",2539,8626,NA
"5","College Graduate or above",2009,10635,NA
"7","Refused",7,10642,NA
"9","Don't know",49,10691,NA
".","Missing",348,11039,NA
