"DXXPT18X.Code.or.Value","DXXPT18X.Value.Description","DXXPT18X.Count","DXXPT18X.Cumulative","DXXPT18X.Skip.to.Item"
"33.9 to 593","Range of Values",3194,3194,NA
".","Missing",514,3708,NA
