"CBQ845.Code.or.Value","CBQ845.Value.Description","CBQ845.Count","CBQ845.Cumulative","CBQ845.Skip.to.Item"
"1","Yes",789,789,""
"2","No",876,1665,"CBQ860"
"7","Refused",0,1665,""
"9","Don't know",0,1665,""
".","Missing",380,2045,""
