"URXUAC.Code.or.Value","URXUAC.Value.Description","URXUAC.Count","URXUAC.Cumulative","URXUAC.Skip.to.Item"
"0.08 to 10.98","Range of Values",3094,3094,NA
".","Missing",185,3279,NA
