"PFQ061O.Code.or.Value","PFQ061O.Value.Description","PFQ061O.Count","PFQ061O.Cumulative","PFQ061O.Skip.to.Item"
"1","No difficulty",2273,2273,NA
"2","Some difficulty",410,2683,NA
"3","Much difficulty",120,2803,NA
"4","Unable to do",63,2866,NA
"5","Do not do this activity",5,2871,NA
"7","Refused",1,2872,NA
"9","Don't know",0,2872,NA
".","Missing",6144,9016,NA
