"DXXPT55X.Code.or.Value","DXXPT55X.Value.Description","DXXPT55X.Count","DXXPT55X.Cumulative","DXXPT55X.Skip.to.Item"
"120.1 to 662.5","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
