"WTSSMC2Y.Code.or.Value","WTSSMC2Y.Value.Description","WTSSMC2Y.Count","WTSSMC2Y.Cumulative","WTSSMC2Y.Skip.to.Item"
"0 to 173091.17897","Range of Values",4876,4876,NA
".","Missing",0,4876,NA
