"KIQ022.Code.or.Value","KIQ022.Value.Description","KIQ022.Count","KIQ022.Cumulative","KIQ022.Skip.to.Item"
"1","Yes",187,187,""
"2","No",5574,5761,"KIQ026"
"7","Refused",0,5761,"KIQ026"
"9","Don't know",8,5769,"KIQ026"
".","Missing",0,5769,""
