"LBXPDT.Code.or.Value","LBXPDT.Value.Description","LBXPDT.Count","LBXPDT.Cumulative","LBXPDT.Skip.to.Item"
"0.023 to 30.685","Range of Values",1679,1679,NA
".","Missing",595,2274,NA
