"URXUAB.Code.or.Value","URXUAB.Value.Description","URXUAB.Count","URXUAB.Cumulative","URXUAB.Skip.to.Item"
"0.28 to 732","Range of Values",2870,2870,NA
".","Missing",71,2941,NA
