"BIXS035K.Code.or.Value","BIXS035K.Value.Description","BIXS035K.Count","BIXS035K.Cumulative","BIXS035K.Skip.to.Item"
"193.75 to 1007.59","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
