"OHQ780B.Code.or.Value","OHQ780B.Value.Description","OHQ780B.Count","OHQ780B.Cumulative","OHQ780B.Skip.to.Item"
"11","Did not want to spend the money",124,124,NA
".","Missing",9180,9304,NA
