"AUXRR161.Code.or.Value","AUXRR161.Value.Description","AUXRR161.Count","AUXRR161.Cumulative","AUXRR161.Skip.to.Item"
"-11 to 45","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
