"CIQP12.Code.or.Value","CIQP12.Value.Description","CIQP12.Count","CIQP12.Cumulative","CIQP12.Skip.to.Item"
"1","Yes",8,8,NA
"2","No",8,16,NA
"7","Refused",0,16,NA
"9","Don't know",0,16,NA
".","Missing",762,778,NA
