"LBCBR6LA.Code.or.Value","LBCBR6LA.Value.Description","LBCBR6LA.Count","LBCBR6LA.Cumulative","LBCBR6LA.Skip.to.Item"
"0.8979 to 30.42","Range of Values",301,301,NA
".","Missing",0,301,NA
