"SMD057.Code.or.Value","SMD057.Value.Description","SMD057.Count","SMD057.Cumulative","SMD057.Skip.to.Item"
"1 to 95","Range of Values",1162,1162,NA
"777","Refused",1,1163,NA
"999","Don't know",14,1177,NA
".","Missing",3703,4880,NA
