"BMDAVSAD.Code.or.Value","BMDAVSAD.Value.Description","BMDAVSAD.Count","BMDAVSAD.Cumulative","BMDAVSAD.Skip.to.Item"
"10.1 to 40.1","Range of Values",7218,7218,NA
".","Missing",2595,9813,NA
