"AUXRR134.Code.or.Value","AUXRR134.Value.Description","AUXRR134.Count","AUXRR134.Cumulative","AUXRR134.Skip.to.Item"
"-43 to 41","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
