"URXMEP.Code.or.Value","URXMEP.Value.Description","URXMEP.Count","URXMEP.Cumulative","URXMEP.Skip.to.Item"
"0.85 to 102452","Range of Values",2762,2762,NA
".","Missing",224,2986,NA
