"DXXSMY.Code.or.Value","DXXSMY.Value.Description","DXXSMY.Count","DXXSMY.Cumulative","DXXSMY.Skip.to.Item"
"63.2 to 248","Range of Values",3110,3110,NA
".","Missing",598,3708,NA
