"OPDSTIL.Code.or.Value","OPDSTIL.Value.Description","OPDSTIL.Count","OPDSTIL.Cumulative","OPDSTIL.Skip.to.Item"
"0","No",275,275,NA
"1","Yes",11,286,NA
"3","Ungradable",11,297,NA
".","Missing",2637,2934,NA
