"URDP02LC.Code.or.Value","URDP02LC.Value.Description","URDP02LC.Count","URDP02LC.Cumulative","URDP02LC.Skip.to.Item"
"0","At or above the detection limit",2445,2445,NA
"1","Below lower detection limit",1,2446,NA
".","Missing",192,2638,NA
