"AUDTYL42.Code.or.Value","AUDTYL42.Value.Description","AUDTYL42.Count","AUDTYL42.Cumulative","AUDTYL42.Skip.to.Item"
"0 to 3.19","Range of Values",1672,1672,NA
".","Missing",135,1807,NA
