"OHQ131.Code.or.Value","OHQ131.Value.Description","OHQ131.Count","OHQ131.Cumulative","OHQ131.Skip.to.Item"
"1","Yes",249,249,NA
"2","No",6360,6609,NA
"7","Refused",0,6609,NA
"9","Don't know",4,6613,NA
".","Missing",2985,9598,NA
