"DIQ240.Code.or.Value","DIQ240.Value.Description","DIQ240.Count","DIQ240.Cumulative","DIQ240.Skip.to.Item"
"1","Yes",694,694,""
"2","No",197,891,"DID260"
"7","Refused",0,891,"DID260"
"9","Don't know",1,892,"DID260"
".","Missing",8005,8897,""
