"URDMB2LC.Code.or.Value","URDMB2LC.Value.Description","URDMB2LC.Count","URDMB2LC.Cumulative","URDMB2LC.Skip.to.Item"
"0","At or above the detection limit",581,581,NA
"1","Below lower detection limit",1775,2356,NA
".","Missing",106,2462,NA
