"RXD320.Code.or.Value","RXD320.Value.Description","RXD320.Count","RXD320.Cumulative","RXD320.Skip.to.Item"
"1 to 50","Range of Values",949,949,NA
"555","More than 1 year unspecified",0,949,NA
"666","Less than one year",366,1315,NA
"777","Refused",0,1315,NA
"999","Don't know",15,1330,NA
".","Missing",3913,5243,NA
