"SMD100FL.Code.or.Value","SMD100FL.Value.Description","SMD100FL.Count","SMD100FL.Cumulative","SMD100FL.Skip.to.Item"
"0","Non-filter",13,13,NA
"1","Filter",1009,1022,NA
".","Missing",5768,6790,NA
