"LBXVMCP.Code.or.Value","LBXVMCP.Value.Description","LBXVMCP.Count","LBXVMCP.Cumulative","LBXVMCP.Skip.to.Item"
"0.0141 to 13","Range of Values",3143,3143,NA
".","Missing",346,3489,NA
