"DMDHHSZB.Code.or.Value","DMDHHSZB.Value.Description","DMDHHSZB.Count","DMDHHSZB.Cumulative","DMDHHSZB.Skip.to.Item"
"0","0",4715,4715,NA
"1","1",1990,6705,NA
"2","2",1833,8538,NA
"3","3",822,9360,NA
"4","4 or more",611,9971,NA
".","Missing",0,9971,NA
