"RFXT129.Code.or.Value","RFXT129.Value.Description","RFXT129.Count","RFXT129.Cumulative","RFXT129.Skip.to.Item"
"1123 to 1132","Range of Values",33681,33681,NA
".","Missing",40,33721,NA
